"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000304368",3306.66152076614,-0.0183159302182001,0.0552230313874924,-0.33167194480288,0.740136987401895,0.876969694921123
"ENSG00000304437",4.26147883915273,0.462100503250028,1.41861084650886,0.325741555118684,0.744619901043402,NA
"ENSG00000304443",6.00302876368147,0.840916891749479,1.1478130599498,0.732625303798387,0.463786993569253,NA
"ENSG00000241359",2.70745156829226,-2.99200227511093,2.14762045568739,-1.39317087765086,0.163568124008566,NA
"ENSG00000304560",4.56682003031953,0.754613330527909,1.51227499196435,0.498992137367631,0.617784923147526,NA
"ENSG00000304561",4.27144175629784,0.935721735168313,1.59694252847112,0.585945779817232,0.55791195166042,NA
"ENSG00000228980",2.4996278941931,3.38640996340063,2.38273726782726,1.42122675845356,0.155250847979826,NA
"ENSG00000304717",9.50481808318741,-0.406538901105917,1.00963985101492,-0.402657344296833,0.687200317811198,NA
"ENSG00000232233",12.1485411376495,0.112787113233156,0.824992295919772,0.136712929067308,0.891257709575412,NA
"ENSG00000289130",147.5315163298,-0.638762105358081,0.239586517284797,-2.66610205197308,0.00767363950946902,0.0394844270807705
"ENSG00000228791",2.2823512369177,-2.42182426214845,2.29273795371225,-1.05630225130054,0.290830147756891,NA
"ENSG00000287878",38.8169989125872,-0.0919703195703046,0.469949097617685,-0.195702726181474,0.844842850489496,NA
"ENSG00000286909",64.4871289165324,0.0993692940096966,0.362869167908253,0.273843309924917,0.784205038802287,0.90085546101075
"ENSG00000285600",1.96900979919024,0.200250807361637,2.36528486838504,0.0846624480789762,0.93252975083156,NA
"ENSG00000273033",1800.88558313665,0.195500016623748,0.0702370165024206,2.7834328159,0.00537870007552635,0.029596058405758
"ENSG00000305212",52.8435380302606,0.126518773652391,0.430439907703478,0.293929004695234,0.768812154013727,0.892355200657261
"ENSG00000305287",2.02482952803958,0.208295538179851,2.22093877971822,0.093787158872645,0.925278232455343,NA
"ENSG00000244345",61.5661186433895,0.0299357542012506,0.372626872643818,0.0803370781845495,0.935969169375308,0.971697954216102
"ENSG00000243083",7.70252843518879,0.634188882905969,1.08728666936287,0.583276610277573,0.55970710549048,NA
